image_id,n_gt,n_pred,n_tp,n_fp,n_fn
25172,0,0,0,0,0
28556,0,0,0,0,0
78902,0,0,0,0,0
182114,0,0,0,0,0
150988,0,0,0,0,0
189354,0,0,0,0,0
179156,0,0,0,0,0
116992,0,0,0,0,0
42687,0,0,0,0,0
156006,0,0,0,0,0
39397,0,0,0,0,0
142197,0,0,0,0,0
131102,0,0,0,0,0
102222,0,0,0,0,0
08261,0,0,0,0,0
67710,0,0,0,0,0
45921,0,0,0,0,0
92702,0,0,0,0,0
149550,0,0,0,0,0
08161,0,0,0,0,0
124171,0,0,0,0,0
103936,0,0,0,0,0
80080,0,0,0,0,0
72414,0,1,0,1,0
113277,0,0,0,0,0
161699,0,0,0,0,0
08816,0,1,0,1,0
29256,0,1,0,1,0
130759,0,0,0,0,0
85720,0,0,0,0,0
58063,0,0,0,0,0
175083,0,0,0,0,0
156945,0,0,0,0,0
35814,0,0,0,0,0
54467,0,0,0,0,0
91643,0,0,0,0,0
82257,0,0,0,0,0
80419,0,0,0,0,0
22015,0,0,0,0,0
30294,0,0,0,0,0
120941,0,0,0,0,0
86199,0,0,0,0,0
192310,0,0,0,0,0
17244,0,1,0,1,0
52976,0,0,0,0,0
39065,0,0,0,0,0
32799,0,0,0,0,0
03722,0,0,0,0,0
142027,0,0,0,0,0
133815,0,0,0,0,0
04465,0,0,0,0,0
33004,0,0,0,0,0
58222,0,0,0,0,0
109041,0,0,0,0,0
68592,0,1,0,1,0
01650,0,1,0,1,0
31639,0,0,0,0,0
142709,0,0,0,0,0
109168,0,0,0,0,0
18600,0,0,0,0,0
121101,0,0,0,0,0
73908,0,1,0,1,0
90789,0,0,0,0,0
113252,0,0,0,0,0
161290,0,0,0,0,0
124292,0,1,0,1,0
43560,0,0,0,0,0
130368,0,0,0,0,0
25544,0,0,0,0,0
32390,0,0,0,0,0
13080,0,0,0,0,0
118094,0,1,0,1,0
62705,0,0,0,0,0
30603,0,0,0,0,0
35499,0,0,0,0,0
65030,0,0,0,0,0
157326,0,0,0,0,0
60616,0,0,0,0,0
06265,0,0,0,0,0
183092,0,0,0,0,0
24013,0,0,0,0,0
91442,0,0,0,0,0
08043,0,0,0,0,0
55603,0,0,0,0,0
190284,0,0,0,0,0
147764,0,0,0,0,0
19366,0,0,0,0,0
98372,0,0,0,0,0
74022,0,0,0,0,0
20756,0,0,0,0,0
102084,0,0,0,0,0
01412,0,0,0,0,0
175108,0,0,0,0,0
27126,0,1,0,1,0
44710,0,0,0,0,0
16328,0,0,0,0,0
24372,0,0,0,0,0
